RouteId,Departure,Destination,Distance(km)
r001,Houston,Acapulco,1537
r002,Atlanta,Houston,1109
r003,Atlanta,Chicago,955
r004,San Francisco,Auckland,10520
r005,San Francisco,Beijing,9506.4
r006,Boston,Los Angeles,4166 
r007,Boston,New york,305
r008,Boston,Washington DC,660
r009,Los Angeles,Aspen,1186
r010,Los Angeles,Cleveland,3303
r011,Los Angeles,Eureka,1040 
r012,Los Angeles,Boston,4202 
r013,Los Angeles,San Francisco,613
r014,Los Angeles,Seattle,1535
r015,Shanghai,San Francisco,9922
r016,Shanghai,New york,11880
r017,Shanghai,Los Angeles,10436
r018,New york,Antigua,2872
r019,New york,Geneva,6218
r020,New york,Las Vegas,3618
r021,New york,London,5567
r022,New york,Los Angeles,3956
r023,New york,Paris,5840
r024,New york,Seattle,3880
